product_id,product_name,category,sub_category
PROD0001,Samsung Galaxy M34 2024 Edition,Electronics,Mobile Phones 
PROD0002,Redmi Note 12,Electronics,Mobile Phones
PROD0003,Apple iPhone 13 (Pro),Electronics,Mobile Phones
PROD0004,OnePlus Nord CE,Electronics,Mobile Phones
PROD0005,Boat Rockerz 450 Headphones (Pro),Electronics,Audio
PROD0006,Sony WH-1000XM4 (Pro),Electronics,Audio
PROD0007,JBL Flip Bluetooth Speaker (Blue),Electronics,Audio
PROD0008,HP Wireless Mouse,electronics,Accessories
PROD0009,Logitech Keyboard K380,Electronics,Accessories
PROD0010,Dell 24-inch Monitor 2024 Edition,Electronics,Accessories
PROD0011,Adidas Running Shoes,Fashion,Footwear
PROD0012,Nike Air Max Shoes (Blue),Fashion,Footwear
PROD0013,Puma Training Shoes (Blue),Fashion,Footwear
PROD0014,Levi's Men's Jeans (Pro),Fashion,Clothing
PROD0015,Allen Solly Formal Shirt,Fashion,Clothing
PROD0016,Peter England Trousers (Black),Fashion,Clothing
PROD0017,Wildcraft Backpack,Fashion,Accessories
PROD0018,Fastrack Analog Watch (Pro),Fashion,Accessories
PROD0019,Titan Smart Watch (Blue),Fashion,Accessories
PROD0020,Prestige Pressure Cooker (Blue),Home & Kitchen,Appliances
PROD0021,Philips Mixer Grinder (Black),home & kitchen,Appliances
PROD0022,LG Microwave Oven,Home & Kitchen,Appliances
PROD0023,IFB Washing Machine,Home & Kitchen,Appliances
PROD0024,Cello Water Bottle,Home & Kitchen,Essentials 
PROD0025,Milton Thermosteel Flask (Black),home & kitchen,Essentials
PROD0026,Borosil Glass Container Set (Pro),home & kitchen,Essentials
PROD0027,IKEA Study Table,Home & Kitchen,Furniture 
PROD0028,Wakefit Queen Mattress (Black),Home & Kitchen,Furniture
PROD0029,Nilkamal Plastic Chair 2024 Edition,Home & Kitchen,Furniture 
PROD0030,Samsung Galaxy M34,electronics,Mobile Phones
PROD0031,Redmi Note 12 (Pro),Electronics,Mobile Phones
PROD0032,Apple iPhone 13 (Black),Electronics,Mobile Phones 
PROD0033,OnePlus Nord CE 2024 Edition,Electronics,Mobile Phones
PROD0034,Boat Rockerz 450 Headphones (Blue),Electronics,Audio
PROD0035,Sony WH-1000XM4,Electronics,Audio
PROD0036,JBL Flip Bluetooth Speaker (Black),Electronics,Audio
PROD0037,HP Wireless Mouse 2024 Edition,Electronics,Accessories
PROD0038,Logitech Keyboard K380 (Black),Electronics,Accessories
PROD0039,Dell 24-inch Monitor (Black),electronics,Accessories
